CODIGO_IES,AÑO,SEMESTRE,AUXILIAR,TECNICO,PROFESIONAL,DIRECTIVO,TOTAL
1101,2018,1,260,971,468,147,1846
1102,2018,1,92,358,81,54,585
1103,2018,1,14,130,38,25,207
1104,2018,1,34,99,35,21,189
1105,2018,1,138,23,56,36,253
1105,2018,2,135,25,56,36,252
1110,2018,1,276,160,96,25,557
1110,2018,2,276,160,96,25,557
1111,2018,1,175,78,102,13,368
1111,2018,2,175,78,102,13,368
1112,2018,1,263,83,92,24,462
1112,2018,2,263,83,92,24,462
1114,2018,1,73,15,39,28,155
1114,2018,2,117,13,39,31,200
1115,2018,1,270,103,155,15,543
1115,2018,2,193,111,209,24,537
1117,2018,1,259,218,193,26,696
1117,2018,2,248,230,197,23,698
1119,2018,1,55,15,17,24,111
1119,2018,2,55,15,17,24,111
1121,2018,1,92,24,31,15,162
1121,2018,2,92,24,31,15,162
1124,2018,1,1,4,4,4,13
1125,2018,1,3,4,3,3,13
1126,2018,1,0,1,3,4,8
1201,2018,1,820,150,589,177,1736
1201,2018,2,820,150,589,177,1736
1203,2018,1,468,502,343,6,1319
1203,2018,2,468,502,343,6,1319
1204,2018,1,330,150,519,101,1100
1205,2018,1,179,390,173,129,871
1205,2018,2,181,392,179,126,878
1206,2018,1,472,82,117,36,707
1206,2018,2,397,75,264,46,782
1207,2018,1,209,136,126,78,549
1207,2018,2,200,124,115,79,518
1209,2018,1,234,4,110,7,355
1209,2018,2,240,4,119,5,368
1210,2018,1,112,27,235,10,384
1210,2018,2,124,27,201,10,362
1212,2018,1,92,100,67,78,337
1212,2018,2,92,100,67,78,337
1213,2018,1,1,123,111,58,293
1213,2018,2,1,101,132,57,291
1214,2018,1,181,103,83,40,407
1214,2018,2,181,103,83,40,407
1215,2018,1,45,7,8,1,61
1215,2018,2,45,7,8,1,61
1216,2018,1,16,5,9,1,31
1216,2018,2,16,5,9,1,31
1218,2018,1,58,24,32,59,173
1218,2018,2,58,24,32,59,173
1219,2018,1,5,0,2,1,8
1219,2018,2,5,0,2,1,8
1220,2018,1,1,0,1,1,3
1220,2018,2,1,0,1,1,3
1221,2018,1,3,1,2,1,7
1221,2018,2,3,1,2,1,7
1222,2018,1,1,0,1,1,3
1222,2018,2,1,0,1,1,3
1223,2018,1,2,0,1,1,4
1223,2018,2,2,0,1,1,4
1701,2018,1,814,223,836,32,1905
1701,2018,2,805,231,871,36,1943
1702,2018,1,27,263,310,81,681
1702,2018,2,26,236,328,87,677
1704,2018,1,251,189,165,198,803
1704,2018,2,208,191,184,204,787
1706,2018,1,297,85,459,52,893
1706,2018,2,297,85,459,52,893
1707,2018,1,6,230,250,51,537
1708,2018,1,6,230,250,51,537
1709,2018,1,276,102,231,29,638
1709,2018,2,282,104,232,29,647
1710,2018,1,260,386,717,114,1477
1710,2018,2,186,399,751,117,1453
1711,2018,1,401,282,423,90,1196
1711,2018,2,331,284,442,92,1149
1712,2018,1,588,112,643,35,1378
1712,2018,2,588,112,643,35,1378
1713,2018,1,400,176,458,39,1073
1713,2018,2,400,176,458,39,1073
1714,2018,1,10,0,14,1,25
1715,2018,1,75,1,46,28,150
1715,2018,2,72,1,45,27,145
1716,2018,1,77,150,53,13,293
1716,2018,2,75,158,57,13,303
1717,2018,1,131,12,74,26,243
1717,2018,2,131,12,76,25,244
1718,2018,1,83,30,49,26,188
1718,2018,2,83,30,49,26,188
1719,2018,1,97,172,215,25,509
1719,2018,2,97,172,215,25,509
1720,2018,1,170,24,58,10,262
1720,2018,2,170,24,58,10,262
1722,2018,1,28,87,157,9,281
1722,2018,2,30,69,96,27,222
1723,2018,1,138,64,87,9,298
1723,2018,2,144,65,87,9,305
1724,2018,1,70,37,23,24,154
