codigoinstitucion,nombreinstitucion,codigodepartinstitucion,nombredepartinstitucion,codigomunicipioinstitucion,nombremunicipioinstitucion,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracteracademico,nombrecaracteracademico,codigoprograma,nombreprograma,codigodepartprograma,nombredepartprograma,codigomunicipioprograma,nombremunicipioprograma,codigoestadoprograma,nombreestadoprograma,cantidadcreditos,fechaacreditacion,codigoareaconocimiento,nombreareaconocimiento,codigometodologia,nombremetodologia,codigonbc,nombrenbc,codigonivelformacion,nombrenivelformacion,codigonivelacademico,nombrenivelacademico,codigoperiodicidad,nombreperiodicidad,cantidadperiodos,numeroresolucionacreditacion,codigotipoacreditacion,nombretipoacreditacion,aniosacreditados,nombretituloobtenido,fechacreacion,genero,departamento_origen,estrato_socioeconomico,tipo_colegio,programa_academico,edad,puntaje_saber11,promedio_acumulado,materias_reprobadas,ingreso_familiar,desertor_predicho,probabilidad_desercion
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5756,Sonsón,2,Inactivo,178,NA,5,Ciencias sociales y humanas,1,Presencial,566,Psicología,6,Universitaria,1,Pregrado,2,Semestral,10,NA,2,Registro calificado,7,PSICOLOGO,17/04/2006,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
2208,CONSERVATORIO DEL TOLIMA,73,Tolima,73001,Ibagué,1,Oficial,3,Institución Universitaria/Escuela Tecnológica,73,Tolima,73,Tolima,73001,Ibagué,2,Inactivo,NA,NA,2,Bellas artes,1,Presencial,28,Música,6,Universitaria,1,Pregrado,2,Semestral,10,NA,4,n/a,NA,DIRECTOR MUSICAL,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5001,Medellín,1,Activo,168,NA,5,Ciencias sociales y humanas,1,Presencial,566,Psicología,6,Universitaria,1,Pregrado,2,Semestral,10,NA,3,Acreditación de alta calidad,6,PSICOLOGO,28/06/2019,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,146,10/08/2015,5,Ciencias sociales y humanas,1,Presencial,568,Filosofía teología y afines,3,Doctorado,2,Posgrado,2,Semestral,8,12259,3,Acreditación de alta calidad,85,DOCTOR EN FILOSOFIA,5/04/2013,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5887,Yarumal,1,Activo,168,NA,5,Ciencias sociales y humanas,1,Presencial,566,Psicología,6,Universitaria,1,Pregrado,2,Semestral,10,NA,2,Registro calificado,7,PSICÓLOGO,14/08/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,NA,30/04/2021,4,Ciencias de la salud,1,Presencial,445,Medicina,2,Maestría,2,Posgrado,2,Semestral,4,7455,4,n/a,NA,MAGISTER EN GENETICA HUMANA,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5736,Segovia,2,Inactivo,196,NA,5,Ciencias sociales y humanas,1,Presencial,566,Psicología,6,Universitaria,1,Pregrado,2,Semestral,10,NA,4,n/a,NA,PSICÓLOGO,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,60,17/07/2020,5,Ciencias sociales y humanas,1,Presencial,562,Geografía historia,2,Maestría,2,Posgrado,2,Semestral,4,13200,4,n/a,NA,MAGISTER EN GEOGRAFIA,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5031,Amalfi,2,Inactivo,196,NA,5,Ciencias sociales y humanas,1,Presencial,566,Psicología,6,Universitaria,1,Pregrado,2,Semestral,10,NA,4,n/a,NA,PSICÓLOGO,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5001,Medellín,1,Activo,170,NA,9,Matemáticas y ciencias naturales,1,Presencial,939,Química y afines,6,Universitaria,1,Pregrado,2,Semestral,10,NA,3,Acreditación de alta calidad,6,QUIMICO,22/12/2016,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5001,Medellín,1,Activo,165,NA,9,Matemáticas y ciencias naturales,1,Presencial,939,Química y afines,6,Universitaria,1,Pregrado,2,Semestral,10,NA,3,Acreditación de alta calidad,8,QUIMICO FARMACEUTICO,12/03/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,17,Caldas,17001,Manizales,1,Oficial,4,Universidad,17,Caldas,17,Caldas,17001,Manizales,1,Activo,135,5/04/2013,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,832,Ingeniería química y afines,3,Doctorado,2,Posgrado,2,Semestral,8,3244,2,Registro calificado,20,DOCTOR EN INGENIERÍA,29/06/2012,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,164,27/09/2017,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,19584,3,Acreditación de alta calidad,6,ADMINISTRADOR(A) DE EMPRESAS,27/09/2017,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,122,27/09/2017,5,Ciencias sociales y humanas,1,Presencial,553,Antropología y  artes liberales,6,Universitaria,1,Pregrado,2,Semestral,9,19587,3,Acreditación de alta calidad,8,ANTROPOLOGO(A),27/09/2017,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,179,16/06/2016,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,818,Arquitectura,6,Universitaria,1,Pregrado,2,Semestral,10,11945,3,Acreditación de alta calidad,6,ARQUITECTO(A),16/06/2016,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,17,Caldas,17001,Manizales,1,Oficial,4,Universidad,17,Caldas,17,Caldas,17001,Manizales,1,Activo,32,11/11/2020,9,Matemáticas y ciencias naturales,1,Presencial,937,Matemáticas estadística y afines,1,Especialización universitaria,2,Posgrado,2,Semestral,2,21314,4,n/a,NA,ESPECIALISTA EN ACTUARÍA Y FINANZAS,25/05/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
